              open   close    high     low         value   quantity                 end
begin                                                                                  
2023-10-11  263.30  260.21  263.99  259.50  7.743001e+09   29495790 2023-10-11 23:59:59
2023-10-12  260.00  264.50  264.50  259.66  7.233267e+09   27549160 2023-10-12 23:59:59
2023-10-13  264.89  263.51  265.04  262.70  4.851838e+09   18408670 2023-10-13 23:59:59
2023-10-16  264.00  268.15  269.20  263.51  1.434420e+10   53723180 2023-10-16 23:59:59
2023-10-17  268.30  270.00  271.97  266.91  1.382585e+10   51214360 2023-10-17 23:59:59
2023-10-18  270.00  267.90  271.19  266.11  1.084531e+10   40380530 2023-10-18 23:59:59
2023-10-19  267.13  268.65  271.00  266.28  9.007682e+09   33532880 2023-10-19 23:59:59
2023-10-20  268.50  269.80  270.30  266.50  8.836451e+09   32879730 2023-10-20 23:59:59
2023-10-23  270.45  270.10  274.10  269.65  1.698429e+10   62432160 2023-10-23 23:59:59
2023-10-24  270.00  271.27  272.06  268.62  7.588324e+09   28029860 2023-10-24 23:59:59
2023-10-25  271.50  273.73  274.96  270.53  1.141537e+10   41830970 2023-10-25 23:59:59
2023-10-26  274.11  269.90  276.00  269.12  1.622554e+10   59497750 2023-10-26 23:59:59
2023-10-27  269.93  269.70  271.98  266.80  1.340305e+10   49779630 2023-10-27 23:59:59
2023-10-30  269.90  269.89  271.55  268.60  9.008697e+09   33345990 2023-10-30 23:59:59
2023-10-31  270.00  268.35  270.50  266.87  7.029774e+09   26210450 2023-10-31 23:59:59
2023-11-01  268.29  269.68  270.30  267.60  5.549755e+09   20609480 2023-11-01 23:59:59
2023-11-02  270.00  269.06  270.98  268.50  6.944685e+09   25751530 2023-11-02 23:59:59
2023-11-03  269.07  268.54  269.78  267.20  5.636878e+09   20981280 2023-11-03 23:59:59
2023-11-06  269.00  273.42  273.87  268.62  7.958187e+09   29274160 2023-11-06 23:59:59
2023-11-07  273.01  273.31  274.78  272.20  8.823191e+09   32275170 2023-11-07 23:59:59
2023-11-08  273.64  278.15  278.35  273.28  1.605863e+10   58032670 2023-11-08 23:59:59
2023-11-09  278.60  276.65  278.85  276.02  7.882378e+09   28430630 2023-11-09 23:59:59
2023-11-10  276.99  280.19  281.30  276.60  1.248637e+10   44643290 2023-11-10 23:59:59
2023-11-13  280.40  283.97  284.80  280.32  1.298757e+10   45887770 2023-11-13 23:59:59
2023-11-14  283.70  280.87  283.88  280.54  1.142087e+10   40484810 2023-11-14 23:59:59
2023-11-15  280.87  282.89  283.93  278.51  1.175952e+10   41837690 2023-11-15 23:59:59
2023-11-16  282.40  279.70  283.69  279.56  6.960894e+09   24696600 2023-11-16 23:59:59
2023-11-17  279.70  281.60  282.50  278.66  8.802031e+09   31322320 2023-11-17 23:59:59
2023-11-20  281.96  282.91  284.20  281.61  7.159260e+09   25291010 2023-11-20 23:59:59
2023-11-21  282.30  282.79  283.82  281.66  5.398750e+09   19099390 2023-11-21 23:59:59
2023-11-22  283.12  286.16  286.67  282.85  1.349509e+10   47296890 2023-11-22 23:59:59
2023-11-23  286.16  286.19  287.77  285.04  7.943750e+09   27724080 2023-11-23 23:59:59
2023-11-24  286.49  286.85  287.50  285.11  7.464158e+09   26067870 2023-11-24 23:59:59
2023-11-27  287.40  282.33  289.00  278.88  2.247182e+10   79146090 2023-11-27 23:59:59
2023-11-28  282.40  279.91  282.51  277.32  1.272361e+10   45507410 2023-11-28 23:59:59
2023-11-29  279.36  276.80  280.56  276.20  8.285652e+09   29820830 2023-11-29 23:59:59
2023-11-30  276.70  277.50  278.65  272.75  1.539141e+10   55873540 2023-11-30 23:59:59
2023-12-01  277.00  273.97  277.98  273.55  8.726777e+09   31660970 2023-12-01 23:59:59
2023-12-04  273.60  270.96  274.95  270.52  1.027482e+10   37700740 2023-12-04 23:59:59
2023-12-05  271.98  279.62  279.65  270.54  1.289872e+10   46892570 2023-12-05 23:59:59
2023-12-06  279.92  267.58  280.79  266.83  2.723215e+10  100020030 2023-12-06 23:59:59
2023-12-07  267.62  265.12  270.44  263.06  1.692352e+10   63564530 2023-12-07 23:59:59
2023-12-08  266.00  265.16  268.23  263.72  9.405706e+09   35364310 2023-12-08 23:59:59
2023-12-11  265.17  256.89  266.47  254.81  2.014754e+10   77668070 2023-12-11 23:59:59
2023-12-12  256.79  257.60  262.88  255.05  1.657102e+10   63932170 2023-12-12 23:59:59
2023-12-13  257.60  260.45  261.39  256.50  7.735551e+09   29836400 2023-12-13 23:59:59
2023-12-14  261.40  256.64  262.75  255.58  1.053281e+10   40549660 2023-12-14 23:59:59
2023-12-15  256.60  268.21  268.91  256.60  2.234154e+10   84668740 2023-12-15 23:59:59
2023-12-18  268.93  268.40  270.44  266.54  1.385222e+10   51602470 2023-12-18 23:59:59
2023-12-19  268.38  267.35  269.71  265.00  1.023107e+10   38287810 2023-12-19 23:59:59
2023-12-20  267.51  266.61  269.10  266.20  8.324806e+09   31094000 2023-12-20 23:59:59
2023-12-21  266.40  265.19  266.87  263.50  8.829665e+09   33301420 2023-12-21 23:59:59
2023-12-22  266.06  271.30  271.90  265.37  1.586613e+10   58724860 2023-12-22 23:59:59
2023-12-25  271.72  271.08  273.85  270.05  1.037392e+10   38115690 2023-12-25 23:59:59
2023-12-26  271.00  271.90  272.89  270.00  6.150169e+09   22658320 2023-12-26 23:59:59
2023-12-27  271.90  271.08  272.59  270.85  4.676446e+09   17214050 2023-12-27 23:59:59
2023-12-28  270.92  271.74  272.48  268.52  7.965183e+09   29439730 2023-12-28 23:59:59
2023-12-29  272.19  270.82  272.59  270.55  5.650211e+09   20810540 2023-12-29 23:59:59
